Sample holder length =	6.9500e-003 meters
Sample thickness =	2.0000e-003 meters
Distance to sample =	0.0000e+000 meters
Sample holder Fco =	0.0000e+000 GHz
 
frequency	s11r	s11i	s21r	s21i	s12r	s12i	s22r	s22i
15520000000.0000	  -0.4945	  -0.0316	  -0.1102	   0.3896	  -0.0980	   0.3933	   0.4902	  -0.1481
15600000000.0000	  -0.4933	  -0.0259	  -0.0907	   0.3939	  -0.0898	   0.3955	   0.4868	  -0.1535
15680000000.0000	  -0.4829	  -0.0310	  -0.0817	   0.3898	  -0.0799	   0.3941	   0.4822	  -0.1592
15760000000.0000	  -0.4822	  -0.0435	  -0.0817	   0.3884	  -0.0699	   0.3969	   0.4792	  -0.1655
15840000000.0000	  -0.4859	  -0.0420	  -0.0711	   0.3925	  -0.0594	   0.3983	   0.4778	  -0.1711
15920000000.0000	  -0.4785	  -0.0387	  -0.0529	   0.3923	  -0.0516	   0.3985	   0.4740	  -0.1766
16000000000.0000	  -0.4741	  -0.0508	  -0.0489	   0.3912	  -0.0405	   0.3966	   0.4688	  -0.1830
16080000000.0000	  -0.4797	  -0.0582	  -0.0447	   0.3963	  -0.0302	   0.3981	   0.4666	  -0.1893
16160000000.0000	  -0.4767	  -0.0522	  -0.0281	   0.3932	  -0.0213	   0.3979	   0.4655	  -0.1946
16240000000.0000	  -0.4684	  -0.0575	  -0.0191	   0.3884	  -0.0124	   0.3974	   0.4618	  -0.1999
16320000000.0000	  -0.4725	  -0.0692	  -0.0139	   0.3943	  -0.0012	   0.3932	   0.4562	  -0.2065
16400000000.0000	  -0.4754	  -0.0674	   0.0001	   0.3924	   0.0083	   0.3940	   0.4540	  -0.2120
16480000000.0000	  -0.4683	  -0.0644	   0.0127	   0.3822	   0.0170	   0.3927	   0.4543	  -0.2171
16560000000.0000	  -0.4665	  -0.0795	   0.0135	   0.3847	   0.0252	   0.3916	   0.4506	  -0.2225
16640000000.0000	  -0.4745	  -0.0837	   0.0263	   0.3927	   0.0364	   0.3866	   0.4455	  -0.2280
16720000000.0000	  -0.4705	  -0.0791	   0.0404	   0.3816	   0.0463	   0.3856	   0.4447	  -0.2344
16800000000.0000	  -0.4610	  -0.0848	   0.0464	   0.3737	   0.0553	   0.3827	   0.4443	  -0.2409
16880000000.0000	  -0.4690	  -0.0943	   0.0525	   0.3792	   0.0623	   0.3797	   0.4409	  -0.2454
16960000000.0000	  -0.4740	  -0.0933	   0.0652	   0.3776	   0.0720	   0.3743	   0.4380	  -0.2514
17040000000.0000	  -0.4642	  -0.0931	   0.0709	   0.3672	   0.0819	   0.3728	   0.4371	  -0.2587
17120000000.0000	  -0.4646	  -0.1029	   0.0795	   0.3675	   0.0898	   0.3675	   0.4360	  -0.2642
17200000000.0000	  -0.4736	  -0.1061	   0.0919	   0.3649	   0.0947	   0.3634	   0.4334	  -0.2690
17280000000.0000	  -0.4713	  -0.1040	   0.0960	   0.3554	   0.1037	   0.3585	   0.4296	  -0.2744
17360000000.0000	  -0.4657	  -0.1118	   0.1007	   0.3527	   0.1127	   0.3557	   0.4295	  -0.2819
17440000000.0000	  -0.4713	  -0.1203	   0.1129	   0.3524	   0.1196	   0.3506	   0.4271	  -0.2889
17520000000.0000	  -0.4766	  -0.1192	   0.1198	   0.3439	   0.1240	   0.3456	   0.4240	  -0.2940
17600000000.0000	  -0.4697	  -0.1225	   0.1204	   0.3371	   0.1313	   0.3400	   0.4214	  -0.2993
17680000000.0000	  -0.4674	  -0.1346	   0.1285	   0.3361	   0.1390	   0.3373	   0.4205	  -0.3068
17760000000.0000	  -0.4756	  -0.1347	   0.1395	   0.3338	   0.1455	   0.3328	   0.4182	  -0.3141
17840000000.0000	  -0.4747	  -0.1325	   0.1439	   0.3275	   0.1503	   0.3271	   0.4146	  -0.3189
17920000000.0000	  -0.4657	  -0.1430	   0.1477	   0.3210	   0.1566	   0.3207	   0.4121	  -0.3247
18000000000.0000	  -0.4720	  -0.1498	   0.1555	   0.3152	   0.1623	   0.3183	   0.4097	  -0.3323
18080000000.0000	  -0.4756	  -0.1455	   0.1605	   0.3137	   0.1684	   0.3144	   0.4081	  -0.3385
18160000000.0000	  -0.4671	  -0.1473	   0.1651	   0.3103	   0.1740	   0.3084	   0.4034	  -0.3449
18240000000.0000	  -0.4668	  -0.1585	   0.1717	   0.3035	   0.1805	   0.3027	   0.4006	  -0.3511
18320000000.0000	  -0.4756	  -0.1572	   0.1775	   0.2969	   0.1851	   0.2995	   0.3974	  -0.3597
